CASE_ID;Региональный_филиал;Населенный_пункт;Код_открытия_обращения;Код_закрытия_обращения;Технология;Услуга;Количество_операций_в_выполнении_процесса;Общее_время_выполнения_процесса
482846646##8912293;Псковский филиал ОАО «ххх»;ЛУКОМО;01. Отсутствует синхронизация;Произведена замена порта ADSL;xDSL;ШПД;6;96:26:53
482846647##8912294;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Искажение на всех каналах;Комнатная проводка (в домовладении/квартире);Прочее;Кабельное TV;14;120:35:36
482846648##8912295;Мурманский филиал ОАО «ххх»;ЗЕЛЕНОБОРСКИЙ;01. Отсутствует синхронизация;Повреждение не обнаружено, услуга работает;PON;ШПД;8;94:35:18
482846649##8912300;Петербургский филиал ОАО «ххх» Ленинградская обл.;ТОСНО;Замена (восстановление) проводки;Оптическое волокно в квартире;PON;IP-TV;8;96:20:25
482846650##8912301;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Искажение на одном или неск. каналах;Комнатная проводка (в домовладении/квартире);Прочее;Кабельное TV;10;105:44:42
482846651##8912319;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на одном/нескольких каналах;Настройка телевизора;Прочее;Кабельное TV;18;122:06:41
482846652##8912320;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;КУДРОВО;Отсутствие на всех каналах;Замена оптического коннектора;PON;IP-TV;4;99:41:26
482846653##8912322;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;01. Отсутствует синхронизация;Настройка CPE;DOCSIS;ШПД;12;98:06:38
482846654##8912326;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ПУШКИН;"Нет зуммера ""ответ станции""";Отказ от заявки/вызова;Медная пара;ОТА;6;94:29:24
482846655##8912327;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;СЕСТРОРЕЦК;Замена клиентского оборудования;Замена блока питания CPE;xDSL;ШПД;9;101:39:50
482846656##8912340;Коми филиал ОАО «ххх»;ЛЕТКА;"Нет зуммера ""ответ станции""";Кабельный ящик;Медная пара;ОТА;6;95:56:36
482846657##8912342;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Муфта магистрального кабеля;Медная пара;ОТА;8;120:53:39
482846658##8912352;Новгородский филиал ОАО «ххх»;СТАРАЯ РУССА;01. Отсутствует синхронизация;Неисправность CPE;xDSL;ШПД;6;98:25:59
482846659##8912363;Архангельский филиал ОАО «ххх»;НОВОДВИНСК;02. Не отображаются стр., нет авторизации;Настройка CPE;FTTx;ШПД;10;126:29:40
482846660##8912370;Коми филиал ОАО «ххх»;СЕДЪЮ;"Нет зуммера ""ответ станции""";Площадка;Медная пара;ОТА;8;96:47:00
482846661##8912372;Мурманский филиал ОАО «ххх»;МОНЧЕГОРСК;"Нет зуммера ""ответ станции""";Отказ от заявки/вызова;Медная пара;ОТА;6;95:21:53
482846662##8912376;Вологодский филиал ОАО «ххх»;КИРИЛЛОВ;"Нет зуммера ""ответ станции""";Замена пары в распределительном кабеле;Медная пара;ОТА;6;101:32:59
482846663##8912380;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;СЕСТРОРЕЦК;01. Отсутствует синхронизация;Замена оптического коннектора;PON;ШПД;8;101:32:31
482846664##8912397;Калининградский филиал ОАО «ххх»;БАЛТИЙСК;Неустойчивое физическое соединение;Замена оптического коннектора;PON;ШПД;6;100:47:10
482846665##8912409;Архангельский филиал ОАО «ххх»;КАРГОПОЛЬ;"Нет зуммера ""ответ станции""";Неисправность станционного оборудования;Медная пара;ОТА;6;96:09:36
482846666##8912410;Архангельский филиал ОАО «ххх»;ЯРЕНСК;01. Отсутствует синхронизация;Замена CPE;xDSL;ШПД;6;142:14:00
482846667##8912413;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Искажение на всех каналах;Необнаруженные повреждения;xDSL;IP-TV;10;96:44:38
482846668##8912416;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;"Нет зуммера ""ответ станции""";Муфта магистрального кабеля;Медная пара;ОТА;8;119:48:18
482846669##8912422;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;ПУШКИН;"Нет зуммера ""ответ станции""";Отказ от заявки/вызова;Медная пара;ОТА;6;94:17:32
482846670##8912440;Карельский филиал ОАО «ххх»;ПИТКЯРАНТА;"Нет зуммера ""ответ станции""";Отказ от заявки/вызова;Медная пара;ОТА;6;95:02:28
482846671##8912443;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;Отсутствие на всех каналах;Замена блока питания STB;PON;IP-TV;9;99:17:38
482846672##8912450;Петербургский филиал ОАО «ххх» г. Санкт-Петербург;САНКТ-ПЕТЕРБУРГ;02. Не отображаются стр., нет авторизации;Оптическое волокно в подъезде;PON;ШПД;10;102:15:18
